_id,challengeId,userId,totalQuestionsAnswered,numOfCorrectAnswers,winRatio,averageSpeed,createdAt,updatedAt,__v
61a21c9dedab4200160ba4c3,619e52e9006fa73d68d130b0,619fba29771a230016404bf7,28,13,1300,11,2021-11-27T11:55:09.977Z,2021-11-27T11:55:09.977Z,0
61a4f5ebb08483001682f9c6,61a48d2a992e590e10d270f5,61a4efb2b08483001682f8a1,11,8,800,27,2021-11-29T15:46:51.907Z,2021-11-29T15:46:51.907Z,0
61a607d9d0d12c001693f02e,61a48d2a992e590e10d270f9,61a5aa84b084830016832643,18,10,1000,17,2021-11-30T11:15:37.722Z,2021-11-30T11:15:37.722Z,0
61a8b5ea40d2a100167435bc,61a48d2a992e590e10d270f9,61a2d263edab4200160bc88a,16,10,1000,19,2021-12-02T12:02:50.239Z,2021-12-02T12:02:50.239Z,0
61ab58d7545b8200160686c6,61a48d29992e590e10d270ef,6082a8083926fe29c8c7f7fb,25,18,1800,12,2021-12-04T12:02:31.191Z,2021-12-04T12:02:31.191Z,0
61ac7becf77cd0001678021a,61a48d2a992e590e10d270f9,6182ac76dddee7001634bd33,59,18,1800,5,2021-12-05T08:44:28.818Z,2021-12-05T08:44:28.818Z,0
61adbc2ff60f250016c55e1e,61a48d29992e590e10d270ef,61acf499f77cd0001678144f,22,14,1400,14,2021-12-06T07:30:55.066Z,2021-12-06T07:30:55.066Z,0
61ade94df60f250016c58290,61a48d2a992e590e10d270f9,61536f1e6b080d001667344c,46,22,2200,7,2021-12-06T10:43:25.521Z,2021-12-06T10:43:25.521Z,0
61ae6326f60f250016c5aa04,61a48d2a992e590e10d270f9,6151f25c276836001637b5f7,47,32,3200,6,2021-12-06T19:23:18.009Z,2021-12-06T19:23:18.009Z,0
61af3dd8385d100016e3ae05,61a48d2a992e590e10d270f5,603a211988f8e80015827df9,10,5,500,30,2021-12-07T10:56:24.306Z,2021-12-07T10:56:24.306Z,0
61afcaf9385d100016e3ce27,61a48d2a992e590e10d270f9,61afc927385d100016e3cdb4,44,27,2700,7,2021-12-07T20:58:33.728Z,2021-12-07T20:58:33.728Z,0
61b0e0f02e76960016e158fc,61b01eaa5e85e51c68c07aed,61af91a6385d100016e3c180,26,15,1500,12,2021-12-08T16:44:32.425Z,2021-12-08T16:44:32.425Z,0
61b46fe078a1690016abe972,61b01eaa5e85e51c68c07ae7,61b46ac378a1690016abe85f,30,21,2100,10,2021-12-11T09:31:12.100Z,2021-12-11T09:31:12.100Z,0
61b51e4678a1690016abfa2d,61b01eaa5e85e51c68c07aeb,61b32bf610e82a00166c4ed1,29,12,1200,10,2021-12-11T21:55:18.545Z,2021-12-11T21:55:18.545Z,0
61bcba2ee2c79000163c6590,61b01eaa5e85e51c68c07ae5,619f8985509ce800166b4d40,14,8,800,21,2021-12-17T16:26:22.552Z,2021-12-17T16:26:22.552Z,0
61bcc181e2c79000163c66b2,61b01eaa5e85e51c68c07ae7,619f89d0509ce800166b4d57,16,9,900,19,2021-12-17T16:57:37.562Z,2021-12-17T16:57:37.562Z,0
61bdb75ca132fe0016bdf925,61b01eaa5e85e51c68c07ae5,6082a8083926fe29c8c7f7fb,31,27,2700,10,2021-12-18T10:26:36.304Z,2021-12-18T10:26:36.304Z,0
61bdf7aaa132fe0016be00d1,61b01eab5e85e51c68c07aef,61ba373becd9b000168eb078,59,9,900,5,2021-12-18T15:00:58.711Z,2021-12-18T15:00:58.711Z,0
61be16e3a132fe0016be0285,61b01eaa5e85e51c68c07aeb,603a202e88f8e80015827df6,14,8,800,21,2021-12-18T17:14:11.949Z,2021-12-18T17:14:11.949Z,0
61be4af7a132fe0016be0847,61b01eaa5e85e51c68c07ae5,619b74a111546c2d8857a034,33,19,1900,9,2021-12-18T20:56:23.398Z,2021-12-18T20:56:23.398Z,0
61bee61ca132fe0016be131c,61b01eaa5e85e51c68c07ae5,619b6ed511546c2d885775c4,29,19,1900,10,2021-12-19T07:58:20.150Z,2021-12-19T07:58:20.150Z,0
61c0fc07d4b9640016b98ab1,61b01eab5e85e51c68c07aef,61c0f9a1d4b9640016b98a37,15,6,600,20,2021-12-20T21:56:23.441Z,2021-12-20T21:56:23.441Z,0
61c32e9bfbc1d300169d08df,61b01eaa5e85e51c68c07ae5,6082aba23926fe29c8c800c5,56,33,3300,5,2021-12-22T13:56:43.325Z,2021-12-22T13:56:43.325Z,0
61c5c13516adaf0016c4b3f5,61b01eaa5e85e51c68c07ae5,60e75b77df20f743607ab582,43,27,2700,7,2021-12-24T12:46:45.322Z,2021-12-24T12:46:45.322Z,0
61c5eae116adaf0016c4b546,61b01eaa5e85e51c68c07aeb,61a3addfa612900016dc6ecc,35,15,1500,9,2021-12-24T15:44:33.362Z,2021-12-24T15:44:33.362Z,0
